City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Bowen,AU,2021-04-08 19:51:09,-20.0167,148.2333,69.8,94,100,5.32
279,Belmonte,BR,2021-04-08 19:51:09,-15.8631,-38.8828,80.6,78,75,16.11
280,Maneromango,TZ,2021-04-08 19:51:10,-7.1988,38.7848,75.2,94,20,5.75
281,Ulagan,RU,2021-04-08 19:51:10,50.6321,87.9563,31.86,91,99,2.3
282,Grobina,LV,2021-04-08 19:51:11,56.5352,21.1678,39.2,93,20,12.66
283,Tonantins,BR,2021-04-08 19:51:11,-2.8731,-67.8022,84.61,76,100,1.23
284,Beira,MZ,2021-04-08 19:51:11,-19.8436,34.8389,78.8,78,20,6.26
285,Saldanha,ZA,2021-04-08 19:51:12,-33.0117,17.9442,62.6,77,86,10.36
286,Mathbaria,BD,2021-04-08 19:51:12,22.2876,89.9593,76.03,86,0,7.78
287,Cidreira,BR,2021-04-08 19:51:12,-30.1811,-50.2056,75.63,79,26,22.08
288,Svetlogorsk,BY,2021-04-08 19:51:13,52.6333,29.7333,32.31,88,39,7.25
289,Sahuaripa,MX,2021-04-08 19:51:13,29.05,-109.2333,97.09,6,0,8.86
290,Pavlodar,KZ,2021-04-08 19:51:14,52.3,76.95,41.0,87,0,13.42
291,Limbang,MY,2021-04-08 19:51:14,4.75,115.0,77.0,100,75,4.61
292,Tome,CL,2021-04-08 19:51:14,-36.6167,-72.95,60.8,88,90,3.44
293,Raymondville,US,2021-04-08 19:51:15,26.4815,-97.7831,95.0,29,1,4.61
